default_profile,favourites_count,followers_count,friends_count,id,location,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
True,491,0,0,2559057222,True,116,False,2261,bot,0.0513047324192835,0.21716054842989826,2.709531735934661,7,63,0.0,False,7,57,8.142857142857142
True,1390,16,22,119284832,True,2033,False,3822,bot,0.531920460491889,0.3636839351125065,1.375,1,1,0.42105263157894735,False,1,1,1.0
True,1444,8789,721,19663518,True,6026,False,4220,human,1.4279620853080568,0.34218009478672984,0.08203436113323473,17,107,0.9241850683491062,False,17,91,5.352941176470588
False,6013,649266,898,72878707,True,7224,False,3996,human,1.8078078078078077,1.5047547547547548,0.0013831003009552325,3,18,0.9986188100233172,False,3,16,5.333333333333333
False,66356,62501,3390,23595924,True,68308,True,4179,human,16.34553720985882,15.878439818138311,0.05423913217388522,22,148,0.9485513954864853,False,23,125,5.434782608695652
False,3393,515,260,173807264,True,22189,False,3669,bot,6.047696920141728,0.9247751430907605,0.5048543689320388,15,75,0.6645161290322581,False,14,61,4.357142857142857
True,128,8,102,1150295048,True,39,False,2752,bot,0.014171511627906976,0.046511627906976744,12.75,8,63,0.07272727272727272,False,8,56,7.0
False,48681,1501,488,791449,True,223637,False,4925,bot,45.40852791878173,9.884467005076143,0.3251165889407062,8,47,0.7546505781799899,False,8,40,5.0
True,3031,193,322,926425458,True,7656,False,2844,bot,2.691983122362869,1.0657524613220817,1.6683937823834196,1,9,0.37475728155339805,False,1,9,9.0
True,1393,7636,3732,316147373,True,5319,False,3355,human,1.5853949329359165,0.41520119225037255,0.48873755893137766,11,71,0.6717100633356791,False,12,59,4.916666666666667
True,64338,17586,3108,26744624,True,36496,True,4163,human,8.766754744174873,15.454720153735288,0.17673149095871715,23,150,0.8498115395766889,False,22,128,5.818181818181818
True,1530,3,39,1376003718,True,2356,False,2674,bot,0.881077038145101,0.5721765145848915,13.0,1,1,0.07142857142857142,False,1,1,1.0
False,8664,281968,1381,39588492,True,10532,False,4116,human,2.558794946550049,2.1049562682215743,0.004897718890086818,6,76,0.9951261518480743,False,6,71,11.833333333333334
False,51200,2184,2626,224666841,True,32628,False,3540,human,9.216949152542373,14.463276836158192,1.2023809523809523,22,139,0.4540540540540541,False,22,118,5.363636363636363
False,3069,1064,172,866648466,True,73482,False,2872,bot,25.58565459610028,1.0685933147632312,0.16165413533834586,4,19,0.86084142394822,False,4,16,4.0
True,286,10,64,3676578139,True,562,False,1790,human,0.3139664804469274,0.15977653631284916,6.4,1,1,0.13513513513513514,False,1,1,1.0
True,2852,371,355,3050579969,True,4378,False,2005,human,2.1835411471321695,1.4224438902743142,0.9568733153638814,12,66,0.5110192837465565,False,12,55,4.583333333333333
False,38599,2724,2638,164438347,True,218201,False,3694,human,59.06903086085544,10.449106659447754,0.9684287812041116,5,25,0.5080193957478553,False,5,21,4.2
False,3509,93,1024,2337802973,True,1040,False,2380,human,0.4369747899159664,1.4743697478991598,11.010752688172044,15,117,0.08325872873769025,False,14,101,7.214285714285714
True,0,916,0,2943615224,True,3416,False,2063,bot,1.6558410082404265,0.0,0.0,1,47,1.0,False,1,47,47.0
True,37,9485,228,3943702392,True,1577,False,1766,human,0.8929784824462061,0.020951302378255945,0.024037954665260937,1,37,0.976526304952126,False,1,37,37.0
False,15033,752,1536,24124800,True,12962,False,4177,human,3.1031841034235095,3.598994493655734,2.0425531914893615,27,151,0.32867132867132864,False,27,125,4.62962962962963
False,27954,352,229,897130996386205696,True,7827,False,1100,human,7.115454545454545,25.412727272727274,0.6505681818181818,1,1,0.6058519793459552,False,1,1,1.0
False,26013,230773,67258,38019317,True,40954,True,4123,human,9.93305845258307,6.309240844045598,0.29144657303930704,14,70,0.7743254896302734,False,14,57,4.071428571428571
False,145,70,176,53487108,True,531,False,4064,human,0.13065944881889763,0.035679133858267716,2.5142857142857142,23,141,0.2845528455284553,False,22,119,5.409090909090909
False,6862,72461,10108,460279825,True,26249,False,3143,human,8.351574928412345,2.1832643970728602,0.13949572873683774,3,13,0.877581174532815,False,3,11,3.6666666666666665
False,27179,7992,5040,209725175,True,46747,True,3581,human,13.054174811505167,7.5897793912315,0.6306306306306306,23,156,0.6132596685082873,False,23,134,5.826086956521739
False,2260,78,30,91236173,True,4539,False,3925,bot,1.1564331210191083,0.575796178343949,0.38461538461538464,14,63,0.7222222222222222,False,14,50,3.5714285714285716
False,1362,21,0,798396768627134465,True,1398,False,1373,human,1.0182083029861617,0.9919883466860888,0.0,2,22,1.0,False,2,21,10.5
False,20148,15886561,31047,2367911,True,293344,True,4894,bot,59.939517776869636,4.11687780956273,0.001954293317477584,10,40,0.9980495184954925,False,10,31,3.1
False,0,296,206,460332176,True,285,False,3143,bot,0.09067769646834235,0.0,0.6959459459459459,4,31,0.5896414342629482,False,4,28,7.0
False,88,2,0,415764375,True,128,False,3196,bot,0.04005006257822278,0.02753441802252816,0.0,1,1,1.0,False,1,1,1.0
True,778,20,355,417341905,True,1095,False,3194,bot,0.3428303068252974,0.24358171571696932,17.75,1,1,0.05333333333333334,False,1,1,1.0
False,1088,306,378,708029961681170433,True,331,False,1622,human,0.20406905055487054,0.6707768187422934,1.2352941176470589,18,106,0.4473684210526316,False,18,89,4.944444444444445
True,1332,15,28,765659108854857729,True,1332,False,1463,bot,0.9104579630895421,0.9104579630895421,1.8666666666666667,4,14,0.3488372093023256,False,4,11,2.75
True,67588,3327,4999,837344043021570049,True,50443,False,1265,bot,39.87588932806324,53.429249011857706,1.5025548542230238,23,160,0.3995916406437665,False,24,137,5.708333333333333
False,7125,180,588,37489316,True,2584,False,4125,human,0.6264242424242424,1.7272727272727273,3.2666666666666666,29,155,0.234375,False,29,127,4.379310344827586
