,default_profile,favourites_count,followers_count,friends_count,id,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
602,0.0,0.8005344413030672,0.0005448544691302092,0.0,74192447,0.23622700592732088,0.0,75.01070663811562,bot,1.6406915560010022,0.7116011024805813,0.0,1,6,100.0,False,1,6,4.587155963302753
603,100.0,0.29879102386663775,9.643441931508128e-06,0.0,574627008,0.053825701411662,0.0,54.30406852248393,bot,0.4933862433862434,0.3505291005291005,0.0,1,1,100.0,False,1,1,0.0
604,0.0,0.0682145545054022,2.1697744345893288e-05,0.0,538453053,0.0013348196730774088,0.0,55.203426124196994,bot,0.012067840834964122,0.07893020221787345,0.0,9,69,100.0,False,9,61,5.300713557594292
605,0.0,3.464848363555388,0.0011933759390241308,0.031157384843255954,956829350,0.14830928854111425,0.0,50.14989293361884,human,1.4526501766784452,4.343462897526502,0.9272727272727272,22,113,51.886792452830186,False,22,92,2.9190992493744785
606,0.0,7.674701138506553,2.916562577765318,0.025183855722980306,366225283,0.7985107741593342,100.0,59.65738758029978,human,6.760537568723274,8.316127061698229,0.00030667239783097473,9,59,99.96934216212956,False,9,51,4.281345565749236
607,0.0,0.5981458043820804,0.00025314035070208836,0.01364408355881143,563090687,0.13889339841481146,0.0,54.58244111349036,bot,1.26769838656569,0.6987158379980244,1.9142857142857144,1,1,34.31372549019608,False,1,1,0.0
608,0.0,0.40872357038360824,0.003941756889503947,0.010385794947751985,712318166278340608,0.349794906761042,0.0,24.025695931477514,human,6.022360248447205,0.9006211180124224,0.09357798165137615,20,142,91.44295302013423,False,20,123,4.724770642201836
609,0.0,20.970619822247528,0.0030497385108394456,0.06258629373743353,420219280,3.493908532383808,0.0,57.88008565310491,human,30.350360388592918,23.31432152930116,0.7288537549407115,9,44,57.841792409693646,False,9,36,2.7522935779816518
610,0.0,0.6285886634175492,0.24395738312280973,0.03869217725633092,161482772,2.2677143197289955,100.0,68.8222698072805,human,16.979740680713128,0.602377093462993,0.005632912017867202,18,116,99.43986399504722,False,18,99,4.128440366972478
611,100.0,1.0742382942978834,0.001359725312342646,0.08043900008553008,630459182,0.1894722411622311,0.0,52.99785867237687,human,1.7725278434019576,1.2861964225447182,2.101063829787234,21,121,32.24699828473413,False,20,101,3.71559633027523
612,0.0,0.0949929953236386,0.00045565263126375906,0.010250032922291175,3236431915,0.011652614983891973,0.0,30.278372591006423,human,0.16982124079915878,0.17718191377497372,0.798941798941799,17,129,55.58823529411765,False,17,113,5.180787911494874
613,0.0,4.982763140462788,0.014349441594084094,0.16739457739317906,152315807,0.0672821267645775,0.0,69.3576017130621,bot,0.5004024684733029,4.742956801717199,0.41431451612903225,9,67,70.7056307911618,False,9,58,4.994903160040775
614,100.0,0.0028187832440248846,7.232581448631096e-06,0.0,472388869,0.09560194955824684,0.0,56.57387580299785,human,0.8466453674121406,0.003194888178913738,0.0,1,1,100.0,False,1,1,0.0
615,0.0,0.006201323136854745,0.5094244634738484,0.017377539258983714,42999181,0.022259019953750302,100.0,77.3661670235546,human,0.15045110948549134,0.0053645452328700315,0.001211524628024079,13,115,99.8789941387786,False,13,103,6.351446718419196
616,100.0,0.03326164227949364,0.0,0.0,803356645950627841,0.007034860439191749,0.0,18.650963597430405,human,0.1434878587196468,0.08682855040470934,2.709531735934661,19,106,0.0,False,19,88,3.331723804925158
